Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Passengers,Serious.or.Fatal.Fraction,Aircraft.Destroyed,Make.Model
20220328104831,Accident,ERA22LA169,2022-03-25,"Smithfield, NC",United States,Substantial,Airplane,N471BL,DIAMOND AIRCRAFT IND INC,DA 40 NG,No,1.0,,Instructional,0.0,0.0,2.0,0.0,VMC,Other,2.0,0.0,False,DIAMOND AIRCRAFT IND INC DA 40 NG
20220328104835,Accident,CEN22LA154,2022-03-25,"Wade, OK",United States,Substantial,Airplane,N6714F,CESSNA,150,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Other,1.0,1.0,False,CESSNA 150
20220329104854,Accident,WPR22LA137,2022-03-25,"Lanark, NM",United States,Substantial,Airplane,N823MM,OTHER,SPORTCRUISER,No,1.0,,Personal,0.0,1.0,0.0,0.0,,Other,1.0,1.0,False,OTHER SPORTCRUISER
20220330104860,Accident,ANC22LA027,2022-03-25,"Chitina, AK",United States,Substantial,Airplane,N7074K,PIPER,PA-20,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,PIPER PA-20
20220328104837,Accident,GAA22WA132,2022-03-26,"Ploie?ti, ",Romania,Destroyed,Airplane,N131BT,OTHER,SU-31,No,1.0,,Personal,0.0,0.0,0.0,0.0,,Other,0.0,0.0,True,OTHER SU-31
20220328104843,Accident,WPR22LA131,2022-03-26,"Spanish Fork, UT",United States,Substantial,Airplane,N976PA,DIAMOND AIRCRAFT IND INC,DA20-C1,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Other,2.0,1.0,False,DIAMOND AIRCRAFT IND INC DA20-C1
20220328104845,Accident,WPR22LA133,2022-03-26,"Mojave, CA",United States,Substantial,Airplane,N88KL,OTHER,VARIEZE,No,1.0,,Personal,0.0,1.0,1.0,0.0,VMC,Other,2.0,0.5,False,OTHER VARIEZE
20220328104848,Accident,WPR22LA136,2022-03-26,"Prosser, WA",United States,Substantial,Airplane,N7658B,OTHER,BELLANCA 14-19-2,No,1.0,,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,OTHER BELLANCA 14-19-2
20220329104851,Accident,CEN22LA157,2022-03-26,"Rayville, LA",United States,Substantial,Airplane,N9192E,AIR TRACTOR,AT-401,No,1.0,,Aerial Application,0.0,0.0,1.0,0.0,VMC,Other,1.0,0.0,False,AIR TRACTOR AT-401
20220331104863,Accident,CEN22LA161,2022-03-26,"Benton, AR",United States,Substantial,Airplane,N7523Z,PIPER,PA-25-235,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,PIPER PA-25-235
20220406104896,Accident,GAA22WA145,2022-03-26,"Urleta, OF",Romania,Substantial,Airplane,N131BT,OTHER,SU-31,No,1.0,,Other,1.0,0.0,0.0,0.0,,Other,1.0,1.0,False,OTHER SU-31
20220328104833,Accident,ERA22LA171,2022-03-27,"Sparta, TN",United States,Substantial,Airplane,N8431U,CESSNA,172,No,1.0,,Instructional,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,CESSNA 172
20220329104853,Accident,ANC22LA026,2022-03-28,"Anchorage, AK",United States,Substantial,Airplane,N915AA,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,1.0,0.0,1.0,VMC,Other,2.0,0.5,False,CESSNA 152
